time,pressure[mbar]
08/31/17 11:56:02, 05.0E-07 
08/31/17 11:57:02, 05.0E-07 
08/31/17 11:58:02, 05.0E-07 
08/31/17 11:59:02, 05.0E-07 
08/31/17 12:00:02, 05.0E-07 
08/31/17 12:01:02, 05.0E-07 
08/31/17 12:02:02, 05.0E-07 
08/31/17 12:03:02, 05.0E-07 
08/31/17 12:04:02, 05.0E-07 
08/31/17 12:05:02, 05.0E-07 
08/31/17 12:06:02, 05.0E-07 
08/31/17 12:07:02, 05.0E-07 
08/31/17 12:08:02, 05.0E-07 
08/31/17 12:09:02, 05.0E-07 
08/31/17 12:10:02, 05.0E-07 
08/31/17 12:11:02, 05.0E-07 
08/31/17 12:12:02, 05.0E-07 
08/31/17 12:13:03, 05.0E-07 
08/31/17 12:14:02, 05.0E-07 
08/31/17 12:15:02, 05.0E-07 
08/31/17 12:16:02, 05.0E-07 
08/31/17 12:17:02, 05.0E-07 
08/31/17 12:18:02, 05.0E-07 
08/31/17 12:19:02, 05.0E-07 
08/31/17 12:20:02, 05.0E-07 
08/31/17 12:21:02, 05.0E-07 
08/31/17 12:22:02, 05.0E-07 
08/31/17 12:23:02, 05.0E-07 
08/31/17 12:24:02, 05.0E-07 
08/31/17 12:25:02, 05.0E-07 
08/31/17 12:26:02, 05.0E-07 
08/31/17 12:27:02, 05.0E-07 
08/31/17 12:28:02, 05.0E-07 
08/31/17 12:29:02, 05.0E-07 
08/31/17 12:30:02, 05.0E-07 
08/31/17 12:31:02, 05.0E-07 
08/31/17 12:32:02, 05.0E-07 
08/31/17 12:33:02, 05.0E-07 
08/31/17 12:34:02, 05.0E-07 
08/31/17 12:35:02, 05.0E-07 
08/31/17 12:36:02, 05.0E-07 
08/31/17 12:37:02, 05.0E-07 
08/31/17 12:38:02, 05.0E-07 
08/31/17 12:39:02, 05.0E-07 
08/31/17 12:40:02, 05.0E-07 
08/31/17 12:41:02, 05.0E-07 
08/31/17 12:42:02, 05.0E-07 
08/31/17 12:43:02, 05.0E-07 
08/31/17 12:44:02, 05.0E-07 
08/31/17 12:45:02, 05.0E-07 
08/31/17 12:46:02, 05.0E-07 
08/31/17 12:47:02, 05.0E-07 
08/31/17 12:48:02, 05.0E-07 
08/31/17 12:49:02, 05.0E-07 
08/31/17 12:50:03, 05.0E-07 
08/31/17 12:51:02, 05.0E-07 
08/31/17 12:52:02, 05.0E-07 
08/31/17 12:53:02, 05.0E-07 
08/31/17 12:54:02, 05.0E-07 
08/31/17 12:55:02, 05.0E-07 
08/31/17 12:56:02, 05.0E-07 
08/31/17 12:57:02, 05.0E-07 
08/31/17 12:58:02, 05.0E-07 
08/31/17 12:59:02, 05.0E-07 
08/31/17 13:00:02, 05.0E-07 
08/31/17 13:01:02, 05.0E-07 
08/31/17 13:02:02, 05.0E-07 
08/31/17 13:03:02, 05.0E-07 
08/31/17 13:04:03, 05.0E-07 
